"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"993","Roads & Highways","Ministry of Road Transport & Highways","618421","Construction of 2-Lane with paved shoulder of Shillong Western Bypass starting from NH-06 near Ladumsaw Existing km 60.900 of old NH-40 to NH106 old NH-44E, km 0000 to km 12800 Package-I under SARDP-NE PHASE A in the State of Meghalaya on EPC Mode Greenfield alignment","620.3","620.3","332.95"
"994","Roads & Highways","Ministry of Road Transport & Highways","618422","Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V Balance work","161.73","161.73","101.28"
"995","Roads & Highways","Ministry of Road Transport & Highways","618423","Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length-20.000 Km in the State of Nagaland under SARDP-NE Phase-A Pkg-2 Balance work","215.79","215.79","173.12"
"996","Roads & Highways","Ministry of Road Transport & Highways","618426","Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim","264.84","380.94","127.34"
"997","Roads & Highways","Ministry of Road Transport & Highways","618427","Construction & upgradation of existing road to 2-lane with paved shoulder including geometric improvement of Kafer- Lava More section from km 40.00 to km 61.100 of NH717-A on EPC under SARDP-NE A in state of West Bengal Pkg-VA","311.02","273.78","268.2"
"998","Roads & Highways","Ministry of Road Transport & Highways","618428","Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work","264.84","380.94","70.71"
"999","Roads & Highways","Ministry of Road Transport & Highways","618429","Construction & upgradation of existing road to 2-lane with paved shoulder including geometric improvement of sect. from Pedong bypass to Reshi Border km 79.700 to km 96.254 of NH-717A under SARDP-NE-A on EPC as part of Alternate connectivity to Gangtok Lava More-Reshi Border Pkg-VB","345.38","395.59","418.73"
"1000","Roads & Highways","Ministry of Road Transport & Highways","618430","Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim-Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of Sikkim from Km 0.00 to Km 13.00 of Bagrakot -Kafer section of NH 717A on EPC Mode under Phase-A of SARDP-NE in the State of West Bengal PKG- IVA","402.94","402.94","261.9"
"1001","Roads & Highways","Ministry of Road Transport & Highways","618431","Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim-Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of Sikkim from Km 13.00 to Km 25.60 of Bagrakot -Kafer section of NH 717A on EPC Mode under Phase-A of SARDP-NE in the State of West Bengal PKG- IVB","295.97","295.97","255.94"
"1002","Roads & Highways","Ministry of Road Transport & Highways","618433","Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7","184.89","184.89","156.42"
"1003","Roads & Highways","Ministry of Road Transport & Highways","618434","Roing-Hunli Road Greenfield Alignment Project","1718.59","1718.59","1123.4"
"1004","Roads & Highways","Ministry of Road Transport & Highways","618436","4-Laning of Jamugurihat to end of Biswanath Chariali By-Pass from Km 182.000 to Km 208.000 of NH-52 on EPC mode in state of Assam under SARDP-NE","599","599","432.62"
"1005","Roads & Highways","Ministry of Road Transport & Highways","618437","Construction of Balance Work of 4-Laning of NH-37 Section between End of Moran Bypass to Bogibeel junction near Lapetketa Km. 561.700-Km. 580.875 under SARDP-NE, Phase 'A' in the State of Assam on EPC mode Pkg-I Road works & Toll Plaza","274.34","274.34","116.66"
"1006","Roads & Highways","Ministry of Road Transport & Highways","618438","4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode","385.57","385.57","680.44"
"1007","Roads & Highways","Ministry of Road Transport & Highways","618440","Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 490.800 to Km 534.800, under SARDP- NE on EPC Mode in the state of Assam Pkg- IV Structures & Toll Plaza","187.09","100.22","16.71"
"1008","Roads & Highways","Ministry of Road Transport & Highways","618441","Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH-37 Old from Km 490.800 to Km 501.800 11.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-I Road Works","467.79","476.5","97.88"
"1009","Roads & Highways","Ministry of Road Transport & Highways","618442","Construction of Balance Work of the 4-Laning of the Section from Jorhat to Jhanji of NH-37 Old from Km 477.000 to Km 490800 13.800 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-III Road Works","358.72","358.72","100.4"
"1010","Roads & Highways","Ministry of Road Transport & Highways","618445","Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of NH-13 from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -Balance Work","353.9","353.9","26.82"
"1011","Roads & Highways","Ministry of Road Transport & Highways","618446","Construction & Upgradation of existing road to 2-lane with paved shoulder from New Rolep Bridge at km 37.600 to Chochenpheri at km 52.00 in the section of Rongli to Chochenpheri of NH 717B Pkg-II C","493.42","478.79","395.19"
"1012","Roads & Highways","Ministry of Road Transport & Highways","618447","Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Helipad near Menla at Km 82000 to Menla at Km 94030 of Rhenock-Menla Spur NH-717B Package-IIIB on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.","410.6","379.3","241.77"
"1013","Roads & Highways","Ministry of Road Transport & Highways","618448","Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in the State of Sikkim.","816.79","786.6","474.96"
"1014","Roads & Highways","Ministry of Road Transport & Highways","618449","Construction & Upgradation of existing road to 2-lane with paved shoulder from km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B","230.45","244.91","249.71"
"1015","Roads & Highways","Ministry of Road Transport & Highways","618450","Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV","292.8","292.8","253.63"
"1016","Roads & Highways","Ministry of Road Transport & Highways","618452","2-laning of Zorinpui - Longmasu section of NH-502A from km 0.000 to km 28.244 in the State of Mizoram on EPC mode under NHO-NE, stretch of IMBR","781.85","781.85","48.26"
"1017","Roads & Highways","Ministry of Road Transport & Highways","618454","Earthwork in Formation, Road Work, Construction of Bridges, Blanketing, P. Way Linking works including Supply of P. Way Fittings and Track Ballast in connection with Construction of Railway Siding from Jogighopa Railway Station to MMLP at Jogighopa from Ch. 00 to 3760 on Item Rate basis Package -3, Railway Siding from Jogighopa Railway Station to MMLP","693.97","693.97","40.17"
"1018","Roads & Highways","Ministry of Road Transport & Highways","618455","Development of External Trunk Connectivity and Internal Infrastructure Works at Multi Model Logistics ParkMMLP at Jogighopa in the State of Assam on EPC Mode Package-I Road and Utility Works","693.97","693.97","308.85"
"1019","Roads & Highways","Ministry of Road Transport & Highways","618457","Delhi-Vadodara Greenfield Alignment NH-148N Pkg-10 Ch. 292.950 to Ch. 319.400 [End of Interchange on NH-166 near village Mui to Hardeoganj village near Indergarh]","1272.97","1265.16","1150.13"
"1020","Roads & Highways","Ministry of Road Transport & Highways","618458","Delhi-Vadodara Greenfield Alignment NH-148N Pkg-15 Ch. 419.000 to Ch.427.300 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village]","1854.68","1854.68","1530.92"
"1021","Roads & Highways","Ministry of Road Transport & Highways","618459","Delhi-Vadodara Greenfield Alignment NH-148N Pkg-26 Ch.696890 to Ch.726390","1555.2","1556.4","1288.32"
"1022","Roads & Highways","Ministry of Road Transport & Highways","618462","Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village]","1644.85","1651.14","1297.76"
"1023","Roads & Highways","Ministry of Road Transport & Highways","618463","Vadodara Mumbai Expressway Kim to Ankleshwar Phase IA - Pkg V","1324.84","2807.48","1546.7"
"1024","Roads & Highways","Ministry of Road Transport & Highways","618467","Vadodara Mumbai Expressway Karvad - Jujuwa from Km. 128.000 to Km. 154.600 Phase-I Package-IX","2594.17","2587.04","235.55"
"1025","Roads & Highways","Ministry of Road Transport & Highways","618469","Vadodara Mumbai Expressway Phase II - Pkg XIII [Km. 26.582 to Km. 50.700] Shirsad - Masvan","3536.9","4679.54","1986.56"
"1026","Roads & Highways","Ministry of Road Transport & Highways","618470","Vadodara Mumbai Expressway Phase II - Pkg XIV [Km. 3.000 to Km. 20.200 of Spur] Shirsad - Akloli","2058.79","2324.72","634.55"
"1027","Roads & Highways","Ministry of Road Transport & Highways","618471","Vadodara Mumbai Expressway Phase II - Pkg XV [Km. 20.200 to Km. 43.000 of Spur] Akloli - Amne","2610.88","2918.39","651.95"
"1028","Roads & Highways","Ministry of Road Transport & Highways","618472","Vadodara Mumbai Expressway Phase II - Pkg XVI [Km. 43.000 to Km. 69.800 of Spur] Amne - Bhoj","4051.8","4315.56","952.69"
"1029","Roads & Highways","Ministry of Road Transport & Highways","618473","Vadodara Mumbai Expressway Phase II - Pkg XVII [Km. 69.800 to Km. 79.783 of Spur] Bhoj - Morbe","2208.68","2463.02","931.24"
